Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,04/16/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred,,Elmra,MARK A. HENNIG,JUNIOR R. ALVARADO,Elmra-Tr. Mark Hennig-lugging out badly-could not straighten out-eased inside 1/8 pole-crossed finish-tempermental filly-medically fit-filly is fine and has not missed any training,Steward's List
2015,04/17/2015,EQUINE DEATH,Buffalo Raceway,just past the half,Racing,Harness,61 degrees and clear.,Make a Friend,JUDITH L. BLAUN,JOHN S. FLANIGEN,Make a Friend-Tr. Judith Blaun-broke-took bad step-walked off track-vet exam revealed fx LR leg-euthanized,Equine Death
2015,04/17/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,One Chance Fancy,JORDAN J. DERUE,BRUCE A. ALDRICH JR,One Chance Fancy-Tr. Jordan Derue-unable to stay on pace-upon examination horse showed RR soreness-scratched,Steward's List
2015,04/18/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,68* Clear,Deceived,LEAH A. GYARMATI,JEREMY P. ROSE,Deceived-Tr. Lea Gyarmati-pulled up-vanned off-Fx wing bone rgt ft foot,
2015,04/19/2015,EQUINE DEATH,Belmont Park (NYRA),Training Track-5/16 pole,Training,Thoroughbred,,Uninfluenced,TODD A. PLETCHER,,Uninfluenced-Tr. Todd Pletcher-xrays revealed horse sustained fx RF leg while breezing-euthanized,Equine Death
2015,04/19/2015,EQUINE DEATH,Saratoga Gaming & Raceway,Barn 1,Other,Harness,Sunny,Morning Joe,GUY ROEMER,,Morning Joe-Tr. Guy Roemer-previously fx near LR pelvis-stall rest prescribed-2 months later his health took a turn for the worse-found down in stall-got horse standing-non-weight bearing on LR-demonstrated considerable distress-decision made to euthanize,Equine Death
2015,04/23/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Starting Gate-1/8 pole,Racing,Thoroughbred,,Guys Big Guy,GABRIEL K. GOODWIN,ISRAEL O. RODRIGUEZ,Guy's Big Guy-Tr. Gabriel Goodwin-was fractious in gate-hit side of gate at start-did not race well-pulled up-walked off-observed LR lameness cooling out-has issue with LR stringhalt but training well-is fine from incident,Steward's List
2015,04/25/2015,EQUINE DEATH,Belmont Park (NYRA),Training Track-1/4 pole,Training,Thoroughbred,,American Hero,PATRICK J. QUICK,,American Hero-Tr. Patrick Quick-sustained fx RF leg while breezing-euthanized,Equine Death
2015,04/26/2015,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,Cloudy,Just Vic,AMY L. DOWD,BILLY A. DOBSON,Just Vic-Tr. Amy Dowd-broke stride locking wheels with another causing Just Vic and Driver Billy Dobson to go down-Driver to hospital with possible concussion-horse received superficial cuts and bruises-investigation continues,Accident
2015,04/26/2015,EQUINE DEATH,Belmont Park (NYRA),Training Track-7/8 Pole,Training,Thoroughbred,,Lunar Tales,GARY C. CONTESSA,,Lunar Tales-Tr. Gary Contessa-collapsed and died after breezing-possibly cardiovascular event,Equine Death
